Name,NW,SW,SE,NE
Бочкове,37.1220722|50.3309980,37.1221553|50.3162186,37.1581707|50.3164327,37.1502970|50.3316409
Покаляне,37.0603988|50.3034104,37.0582282|50.2893838,37.0851737|50.2898383,37.0914708|50.3022977
Юрченкове,37.0682409|50.2008648,37.0700380|50.1801883,37.1102054|50.1785913,37.1040236|50.1943866
Українське,36.9436898|50.1747028,36.9464746|50.1600518,36.9784010|50.1610377,36.9785049|50.1748797
Зибине,37.0579018|50.3190472,37.0589962|50.3038435,37.0897464|50.3039202,37.0976207|50.3191680
Пільна,36.9811749|50.1728208,36.9785678|50.1569587,37.0147079|50.1543371,37.0136893|50.1701679
Волохівське,37.1536474|50.2495952,37.1605139|50.2275474,37.2017173|50.2278760,37.2047019|50.2468861
Шестерівка,36.9039686|50.1957708,36.9007560|50.1837112,36.9612767|50.1846017,36.9597170|50.2065853
Вовчанські Хутори,36.9880869|50.3031852,37.0041768|50.2926560,37.0497683|50.2932031,37.0471492|50.3041022
Тихе,36.9903400|50.3202091,36.9880869|50.3031852,37.0471492|50.3041022,37.0243832|50.3256082
Вовчанськ,36.9022274|50.3132663,36.9024044|50.2687941,36.9987547|50.2756633,36.9880246|50.3022626
Земляний Яр,37.0171993|50.2495623,37.0384678|50.2062494,37.0948465|50.2113529,37.0946977|50.2484097
Шевченкове,37.0188511|50.1794856,37.0196021|50.1550381,37.0648711|50.1550613,37.0661264|50.1754670
Печеніги,36.8990328|49.8850303,36.9045354|49.8477324,36.9673816|49.8551957,36.9683009|49.8985119
Великий Бурлук,37.3573283|50.0666955,37.3658416|50.0493850,37.4055450|50.0516343,37.4034636|50.0631366
Старий Салтів,36.7734261|50.0862258,36.7743327|50.0698374,36.8278227|50.0728389,36.8152606|50.0837226
Білий Колодязь,37.0879072|50.2186985,37.0983450|50.1948300,37.1737902|50.1836273,37.1595691|50.2194863
Приколотне,37.3250427|50.1722217,37.3143393|50.1477353,37.3708467|50.1493965,37.3671574|50.1670033
Вільча,36.9233880|50.2564608,36.9236174|50.2293341,36.9877128|50.2267757,37.0263138|50.2592243
Бугаївка,36.8504467|50.1717861,36.8231821|50.1415807,36.8894863|50.1353566,36.9006221|50.1574677
Сосновий Бір,36.8871822|50.1742333,36.8709227|50.1531121,36.9129898|50.1553926,36.9205710|50.1735938
Охрімівка,37.1913883|50.3450732,37.1944796|50.3273843,37.2265394|50.3310575,37.2340676|50.3515335
Бакшеївка,37.2022684|50.2125055,37.2031549|50.1997363,37.2313087|50.1957387,37.2297000|50.2080309
Іванівка,37.2531970|50.2543636,37.2437824|50.2412141,37.2824814|50.2388373,37.2817759|50.2543014
Караїчне,37.1071966|50.3075024,37.1126160|50.2978571,37.1354081|50.2980738,37.1418179|50.3038458
Лиман,36.8884718|50.2485230,36.8838967|50.2268667,36.9202258|50.2281477,36.9164701|50.2461071
Верхня Писарівка,36.8313510|50.1909455,36.8401212|50.1796465,36.8710256|50.1793137,36.8705300|50.1902389
Чайківка,37.1558730|50.3272592,37.1571349|50.3126641,37.1771033|50.3146077,37.1781205|50.3244946
Лосівка,36.8885660|50.1840853,36.8865845|50.1735861,36.9078276|50.1736295,36.9101323|50.1823648
Захарівка,37.2199726|50.2712869,37.2243480|50.2521553,37.2540903|50.2566733,37.2396366|50.2780345
Графське,36.8425228|50.2268112,36.8467171|50.2127057,36.8723215|50.2131494,36.8724871|50.2257627
Симинівка,36.8763838|50.2216142,36.8784222|50.2061950,36.9028961|50.2060468,36.9168787|50.2209324
Петропавлівка,37.1216144|50.1712635,37.1267857|50.1510124,37.1648952|50.1506532,37.1750440|50.1666476
Приліпка,36.8362357|50.2569789,36.8360245|50.2485951,36.8680091|50.2474502,36.8637753|50.2571084